product_id,marketplace_id,product_title,title_desc,product_price,list_price,manufacturer,upc,model_name,product_dimensions,product_weight,customer_ratings,average_rating,listing_url,image_url,seller_name,seller_url,status
B015HTJ6F8,,,,,,,,,,,,,,,,,"The Honest Company 2-in-1 Cleansing Shampoo + Body Wash | Gentle for Baby | Naturally Derived, Tear-free, Hypoallergenic | Citrus Vanilla Refresh, 10 fl oz"
B09PWNLH4T,,,,,,,,,,,,,,,,,"The Honest Company - Eco-Friendly and Premium Disposable Diapers - Pandas, Size 6 (35+ lbs), 18 Count"
B07GS7CR84,,,,,,,,,,,,,,,,,$50.99
B07FBT3VVG,,,,,,,,,,,,,,,,,"
                                    "
B07X3NN8PX,,,,,,,,,,,,,,,,,"Honest Diaper Rash Cream, 2.5 Ounce"
B0BM8B2R6G,,,,,,,,,,,,,,,,,"HONEST Body Oil Moisturizer - 4 oz, (158780)"
B07VMMHHS3,,,,,,,,,,,,,,,,,"The Honest Company Head to Toe Multi-Purpose Healing Ointment | Gentle for Baby | Hypoallergenic, Vegan, Allantoin-Powered | 5 oz"
B08PXV12BX,,,,,,,,,,,,,,,,,$13.49
B0C7M3SNZS,,,,,,,,,,,,,,,,,"THE HONEST COMPANY Size 4 Tie Dye Diapers 23 Count, 23 CT"
B07W865HGX,,,,,,,,,,,,,,,,,"THE HONEST COMPANY Just Peachy Size 4 Diapers, 23 CT"
B07MY8Z917,,,,,,,,,,,,,,,,,"
                                    "
B01MDLIE2O,,,,,,,,,,,,,,,,,"The Honest Company Silicone-Free Conditioner & 2-in-1 Cleansing Shampoo + Body Wash Duo | Gentle for Baby | Naturally Derived | Lavender Calm, 20 fl oz"
B07RRLR93C,,,,,,,,,,,,,,,,,"
                                    "
B07Z7W7BD1,,,,,,,,,,,,,,,,,"The Honest Company 2-in-1 Cleansing Shampoo + Body Wash | Gentle for Baby | Naturally Derived, Tear-free, Hypoallergenic | Lavender Calm, 18 fl oz"
B08QRD795X,,,,,,,,,,,,,,,,,"
                                    "
B015HTJH7U,,,,,,,,,,,,,,,,,How to return this item:
B0C7M31NC3,,,,,,,,,,,,,,,,,$29.99
B0BWH9XJ27,,,,,,,,,,,,,,,,,$4.99
B09FYNSYXT,,,,,,,,,,,,,,,,,"ATTITUDE Daily Moisturizing Hand Cream for Sensitive Skin Enriched with Oat, EWG Verified, Hypoallergenic, Vegan and Cruelty-free, Unscented, 2.5 Fl Oz"
B0BN63Y6WX,,,,,,,,,,,,,,,,,"The Honest Company 2-in-1 Cleansing Shampoo + Body Wash and Face Lotion Bundle | Gentle for Baby | Naturally Derived | Sweet Almond Nourish, 18.5 fl oz"
B07B191WPY,,,,,,,,,,,,,,,,,"The Honest Company Dry Baby Wipes | 100% Organic Cotton, Gentle, Disposable | 192 Count"
B0CHLLYHPP,,,,,,,,,,,,,,,,,"The Honest Company Clean Conscious Diapers | Plant-Based, Sustainable | Dots & Dashes + Multi-Colored Giraffes | Club Box, Size 1 (8-14 lbs), 80 Count"
B011XKAG2W,,,,,,,,,,,,,,,,,"Freshfield Prenatal Vegan Omega 3 DHA & DPA Supplement: Premium Algae Oil, Supports Lactation and Brain Development. Mercury Free, Carbon Neutral, Plastic Negative (Prenatal 60)"
B08VJF82DF,,,,,,,,,,,,,,,,,$29.99
B0BW371G4C,,,,,,,,,,,,,,,,,Honest Baby Wipes - Pattern Play Kids Wipes 36 Count
