product_id,marketplace_id,product_title,title_desc,product_price,list_price,manufacturer,upc,model_name,product_dimensions,product_weight,customer_ratings,average_rating,listing_url,image_url
B0CF88BJ94,2,New Large Water Bottles with Lid Plastic Travel Water Bottle for Sports & Outdoors Reusable Big Water Bottle Gym Water Bottle Leak Proof Water Bottles Gifts for Men Women Cute Stuff (Purple),,2.99,,kawaii circle and jugs drinking personalized plastic blender,handle large for miniature filtered,Water bottles cirkul bottle with straw kids 64 oz time marker sports travel 32 cute big reusable iron flask pink gym,3.15 x 9.06,5.3 oz,,,https://www.amazon.com/Bottles-Plastic-Travel-Outdoors-Reusable/dp/B0CF88BJ94/,https://m.media-amazon.com/images/I/51lUhgUnWcL.jpg
B0CKZP6PHW,2,PERSONAL BLENDER WITH 2 TRITAN BOTTLES,STAINLESS STEEL (RENEWED),29.99,,Kalorik,,,5.12 x 5.12 x 14.57,2.9 lbs,,,https://www.amazon.com/PERSONAL-BLENDER-BOTTLES-STAINLESS-RENEWED/dp/B0CKZP6PHW/,https://m.media-amazon.com/images/I/51-szYClYfL.jpg
B0C8JRVHJY,2,FuelUp Motivational Water Bottle Black with Sleeve,Flip Top Durable BPA Free Tritan Non-Toxic Frosted Bottle Perfect for Office,13.99,14.99,Fuelup,FuelUp02,FuelUp Motivational Water Bottle,12.32 x 4.37 x 4.29,9.9 oz,4,5.0 out of 5 stars,https://www.amazon.com/Motivational-Durable-Non-Toxic-Frosted-Perfect/dp/B0C8JRVHJY/,https://m.media-amazon.com/images/I/41Gb53i3iCL.jpg
B0C7Q5PZ33,2,BlenderBottle Classic Shaker Bottle Perfect for Protein Shakes and Pre Workout,20-Ounce,19.98,,BlenderBottle,,,,,,,https://www.amazon.com/BlenderBottle-Classic-Perfect-Protein-20-Ounce/dp/B0C7Q5PZ33/,https://m.media-amazon.com/images/I/51CiVkcngUL.jpg
B0BJW6N5XQ,2,Nuwave Portable Blender for Shakes and Smoothies,On-the-GO Personal Blender with USB-C Rechargeable,37.85,43.99,Nuwave,Nuwave Portable Blender,,3.25D x 3.25 x 10.75,1.83 lbs,129,3.2 out of 5 stars,https://www.amazon.com/Nuwave-Portable-Blender-Rechargeable-6-Piece-Blade/dp/B0BJW6N5XQ/,https://m.media-amazon.com/images/I/71KiBBMhKIL.jpg
B0C1FZZ642,2,Bodundirect 6 Pcs Small Shaker Ball Formula Mixers,304 Stainless Steel Shaker Ball for Baby Bottles formula,5.98,,Bodundirect,S,Small,4.88 x 3.15 x 1.02,1.76 oz,10,4.1 out of 5 stars,https://www.amazon.com/Bodundirect-Formula-Stainless-Bottles-Nutrition/dp/B0C1FZZ642/,https://m.media-amazon.com/images/I/61z+ssBpSkL.jpg
B071RVYDXB,2,BlenderBottle Blend Bottle Fc Class AST 20Oz,,Page 1 of 1  ,,SUNDESA,FBA_SC00908,FBA_SC00908,8.15 x 4.41 x 4.33,0.15 Kilograms,166,4.7 out of 5 stars,https://www.amazon.com/BlenderBottle-Blend-Bottle-Class-20Oz/dp/B071RVYDXB/,https://m.media-amazon.com/images/I/61dw3bvJsdL.jpg
B0C6DXXRY9,2,ROCI Stainless Steel Shaker Bottle Blender Protein 750ml/25oz - Motivational Funny Stainless Steel Water Bottle - Pre Workout Protein Mixes (Bee Kind Positive),,16.99,,ROCI,RC03,ROCI03,3 x 9,9.7 oz,,,https://www.amazon.com/ROCI-Stainless-Shaker-Blender-Protein/dp/B0C6DXXRY9/,https://m.media-amazon.com/images/I/6171VpQT57L.jpg
B0C5J56MSD,2,ROCI Shaker Bottle Blender Protein 750ml/25oz - Motivational Funny Stainless Steel Water Bottle - Pre Workout Protein Shaker Bottle for Protein Mixes (#1 Mom),,16.99,,ROCI,ROCI02,ROCI02,3.5 x 3.5,9.6 oz,1,5.0 out of 5 stars,https://www.amazon.com/ROCI-Shaker-Bottle-Blender-Protein/dp/B0C5J56MSD/,https://m.media-amazon.com/images/I/61rwkKF+kgL.jpg
B0BZLGJ1KM,2,Klxuyuo Shaker Balls,4 Pcs Shaker Bottle Ball Stainless Steel Protein Shaker Ball Mixer Ball Replacement for Shaker,5.99,,Klxuyuo,,,4.69 x 3.54 x 1.89,1.44 oz,81,4.7 out of 5 stars,https://www.amazon.com/Klxuyuo-Stainless-Protein-Replacement-Drinking/dp/B0BZLGJ1KM/,https://m.media-amazon.com/images/I/71Y8A83+peL.jpg
B089TYWGP9,2,32 oz Glass Water Bottle with Straw Lid,Time Marker,19.99,29.99,FIT Strong & Healthy,WaterBottle_32_B-3,Glass Water Bottle - Upgraded,3 x 11,1.46 lbs,"3,854",4.3 out of 5 stars,https://www.amazon.com/Glass-Water-Bottle-Marker-Reminder/dp/B089TYWGP9/,https://m.media-amazon.com/images/I/81-Qcmjh98L.jpg
B07TS8WVBR,2,Blender Bottle x Forza Sports Classic 28 oz. Shaker - Nice Rack!,,11.95,,Forza Sports,BLBFORZA28OZ,,9.49 x 3.82 x 3.54,5.6 oz,97,4.7 out of 5 stars,https://www.amazon.com/Blender-Bottle-Forza-Sports-Classic/dp/B07TS8WVBR/,https://m.media-amazon.com/images/I/61WoiAhdAjL.jpg
