product_id,marketplace_id,product_title,title_desc,product_price,list_price,manufacturer,upc,model_name,product_dimensions,product_weight,customer_ratings,average_rating,listing_url,image_url,seller_name,seller_url,status
B002ZZ3N6G,,,,,,,,,,,,,,,,,"Uniball Signo 207 Impact Stick Gel Pen Refill, 2 Black Pen Refills, 1.0mm Bold Point Gel Pens| Office Supplies by Uni-ball like Ink Pens, Colored Pens, Fine Point, Smooth Writing Pens, Ballpoint Pens"
B002ZZ9LTE,,,,,,,,,,,,,,,,,"
                                    "
B002ZZ2AJC,,,,,,,,,,,,,,,,,Delivery
B0032JUIY4,,,,,,,,,,,,,,,,,"
                                    "
B0032JNFA8,,,,,,,,,,,,,,,,,"
                                    "
B0032JYLFQ,,,,,,,,,,,,,,,,,"
                                    "
B0035GTPXY,,,,,,,,,,,,,,,,,"
                                    "
B003AU913O,,,,,,,,,,,,,,,,,"
                                    "
B003BLSUZW,,,,,,,,,,,,,,,,,"
                                    "
B003BM9VM2,,,,,,,,,,,,,,,,,How to return the item?
B0032JWWAC,,,,,,,,,,,,,,,,,"
                                    "
B003F2JLQ4,,,,,,,,,,,,,,,,,"
                                    "
B003CPH5E4,,,,,,,,,,,,,,,,,"Uni Pencil Lead, The Uni"" Smudge-Proof Leads, 0.5mm HB, 40 Leads x 5 Pack"
B003HOC78E,,,,,,,,,,,,,,,,,"
                                    "
B003FXWGWE,,,,,,,,,,,,,,,,,$16.79
B003HIG1B4,,,,,,,,,,,,,,,,,How to return the item?
B003HOG7V2,,,,,,,,,,,,,,,,,"
                                    "
B003HOHG5S,,,,,,,,,,,,,,,,,"
                                    "
B003HOE8TA,,,,,,,,,,,,,,,,,"
                                    "
B003HOHLYO,,,,,,,,,,,,,,,,,"
                                    "
B003L65PZU,,,,,,,,,,,,,,,,,"
                                    "
B003L6HJ4K,,,,,,,,,,,,,,,,,"
                                    "
B003LHEW6W,,,,,,,,,,,,,,,,,"
                                    "
B003L6F5GY,,,,,,,,,,,,,,,,,"
                                    "
B003L6J308,,,,,,,,,,,,,,,,,"
                                    "
B003L63HNM,,,,,,,,,,,,,,,,,Uni Pin Fineliner Drawing Pen - Sketching Set - Black Ink - 0.03 to 0.8mm - Set of 6
B003N7RT10,,,,,,,,,,,,,,,,,"
                                    "
B003N5EH7G,,,,,,,,,,,,,,,,,"
                                    "
B003SJ1M5C,,,,,,,,,,,,,,,,,"
                                    "
B003T9MTJO,,,,,,,,,,,,,,,,,"
                                    "
B003T9OUK0,,,,,,,,,,,,,,,,,"
                                    "
B003T9KUKE,,,,,,,,,,,,,,,,,"Uni Gel Ballpoint Pen Ball Signo 0.5mm, Golden Yellow (UM15105.69)"
B003T9Q3VE,,,,,,,,,,,,,,,,,"
                                    "
B003UOU8VE,,,,,,,,,,,,,,,,,"
                                    "
B003U6E8I6,,,,,,,,,,,,,,,,,"
                                    "
B003TCON72,,,,,,,,,,,,,,,,,uni-ball 60704 Grip Roller Ball Pen Black Ink Micro Dozen
B003UOU936,,,,,,,,,,,,,,,,,"
                                    "
B003UOWE3E,,,,,,,,,,,,,,,,,"
                                    "
B003UOYBZ8,,,,,,,,,,,,,,,,,"
                                    "
B003UP1P6A,,,,,,,,,,,,,,,,,"
                                    "
B003VVSA8Y,,,,,,,,,,,,,,,,,"
                                    "
B003VVV720,,,,,,,,,,,,,,,,,"
                                    "
B003VVWZ44,,,,,,,,,,,,,,,,,"
                                    "
B003VVX9QW,,,,,,,,,,,,,,,,,"
                                    "
B003VW1GDE,,,,,,,,,,,,,,,,,"
                                    "
B003VNGAKC,,,,,,,,,,,,,,,,,"Uniball Jetstream RT 12 Pack, 1.0mm Medium Black, Wirecutter Best Pen, Ballpoint Pens, Ballpoint Ink Pens | Office Supplies, Ballpoint Pen, Colored Pens, Fine Point, Smooth Writing Pens"
B003WPC152,,,,,,,,,,,,,,,,,"
                                    "
B003WP49VG,,,,,,,,,,,,,,,,,"
                                    "
B00443BS1Y,,,,,,,,,,,,,,,,,"
                                    "
B0042OCDVO,,,,,,,,,,,,,,,,,Uni-Ball Super Ink Permanent Marker Quick-drying Fade-free 0.9mm Line Ref 9001410 [Pack of 12]
